name	description	cloneof	year	players	ctrltype	manufacturer	category	orientation	ctrltype2	joyways	buttons
1080 Avalanche	1080 Avalanche		2003	1	analog	Nintendo	console	horizontal			
1080 Snowboarding (Europe) (En,Ja,Fr,De)	1080 Snowboarding (Europe) (En,Ja,Fr,De)		1998	1	analog	Nintendo	console	horizontal			
10yard	10-Yard Fight		1983	2	8 way	Irem	arcade	horizontal	joy	8	2
1941	1941: Counter Attack		1990	2	8 way	Capcom	arcade	vertical	joy	8	2
1942	1942		1984	2	8 way	Capcom	arcade	vertical	joy	8	2
1943	1943 1: The Battle of Midway		1987	2	8 way	Capcom	arcade	vertical	joy	8	2
1943kai	1943 Kai: Midway Kaisen		1987	2	8 way	Capcom	arcade	vertical	joy	8	2
1944	1944: The Loop Master		2000	2	8 way	Capcom	arcade	horizontal	joy	8	2
19xx	19XX: The War Against Destiny		1996	2	8 way	Capcom	arcade	vertical	joy	8	2
2020bb	2020 Super Baseball		1991	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
3wonders	3 Wonders		1991	2	8 way	Capcom	arcade	horizontal	joy	8	3
64street	64th. Street - A Detective Story		1991	2	8 way	Jaleco	arcade	horizontal	joy	8	2
720	720 Degrees		1986	1	analog	Atari	arcade	horizontal	stick+dial		2
abcop	A.B. Cop		1990	1	analog	SEGA	arcade	horizontal	paddle+pedal		1
aburner2	After Burner 2		1987	1	analog	SEGA	arcade	horizontal	stick		2
acedrvrw	Ace Driver: Racing Evolution		1994	2	8 way	Namco	arcade	horizontal			
actfancr	Act-Fancer Cybernetick Hyper Weapon		1989	2	8 way	Data East	arcade	horizontal	joy	8	2
aerofgt	Aero Fighters 1		1992	2	8 way	Video System Co.	arcade	vertical	joy	8	2
afighter	Action Fighter		1986	2	8 way	SEGA	arcade	vertical	joy	8	3
After Burner Climax	After Burner Climax		2006	1	analog	SEGA	arcade	horizontal			
agallet	Air Gallet		1996	2	8 way	Gazelle (Banpresto license)	arcade	vertical	joy	8	3
airass	Air Assault		1993	2	8 way	Irem	arcade	vertical	joy	8	3
airwolf	Airwolf		1987	2	8 way	Kyugo	arcade	horizontal	joy	8	2
ajax	Ajax		1987	2	8 way	Konami	arcade	vertical	joy	8	3
akatana	Akai Katana		2008	2	8 way	Cave	arcade	horizontal			
Aladdin	Aladdin		1993	1	8 way	Nintendo	console	horizontal			
AladdinMD	AladdinMD		1993	1	8 way	SEGA	console	horizontal			
alien3	Alien3: The Gun		1993	2	lightgun	SEGA	arcade	horizontal	stick		2
aliens	Aliens		1990	2	8 way	Konami	arcade	horizontal	joy	8	2
aliensyn	Alien Syndrome		1987	2	8 way	SEGA	arcade	horizontal	joy	8	3
alpham2	Alpha Mission 2		1991	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
alpine	Alpine Ski		1982	2	4 way	Taito	arcade	vertical	joy	2	1
altbeast	Altered Beast (set 8)		1988	2	8 way	SEGA	arcade	horizontal	joy	8	3
amidar	Amidar		1982	2	4 way	Konami	arcade	vertical	joy	4	1
anteater	Anteater		1982	1	4 way	Tago Electronics	arcade	vertical	joy	4	1
aodk	Aggressors of Dark Kombat		1994	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
aof	Art of Fighting 1		1992	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
aof2	Art of Fighting 2		1994	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
aof3	Art of Fighting 3: The Path of the Warrior		1996	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
apb	APB: All Points Bulletin		1987	1	analog	Atari	arcade	vertical	dial+pedal		2
arabian	Arabian		1983	2	8 way	Sun Electronics	arcade	vertical	joy	8	1
archrivl	Arch Rivals		1989	2	analog	Midway	arcade	horizontal	stick		2
area51	Area 51		1996	2	lightgun	Atari	arcade	horizontal	lightgun		1
arkanoid	Arkanoid 1		1986	2	analog	Taito	arcade	vertical	dial		1
arknoid2	Arkanoid 2: Revenge of DOH		1987	2	analog	Taito	arcade	vertical	dial		1
armwar	Armored Warriors		1994	3	8 way	Capcom	arcade	horizontal	joy	8	3
ashura	Ashura Blaster		1990	2	8 way	Taito	arcade	vertical	joy	8	2
assault	Assault		1988	2	twin stick	Namco	arcade	vertical	doublejoy	4	1
astdelux	Asteroids 2 Deluxe		1980	1	4 way	Atari	arcade	horizontal	only_buttons		5
asterix	Asterix		1992	2	8 way	Konami	arcade	horizontal	joy	8	2
asteroid	Asteroids 1		1979	1	buttons only	Atari	arcade	horizontal	only_buttons		5
